feature,coefficient_per_sd,odds_ratio_per_sd,training_mean,training_sd
bureau_score,-0.10251126,0.90256799,719.4324,35.309563
days_past_due,0.26959091,1.30942867,1.61496,8.064744
utilization_pct,0.0453768,1.04642208,42.873108,15.490523
payment_ratio,-0.1222304,0.88494446,0.99692,0.112791
missed_payments_3m,0.13161502,1.1406691,0.118187,0.36792
dti_pct,0.1126755,1.11926868,40.485472,18.360488
income_drop_flag,0.06845261,1.07084988,0.0224,0.147981
hardship_flag,0.08154847,1.0849658,0.015413,0.12319
account_age_months,0.04924718,1.05047998,25.166,13.677204
log_outstanding_balance_eur,0.02545983,1.0257867,9.588171,1.385266
apr_pct,-0.00223679,0.99776571,10.838712,5.920892
is_revolving,0.00104672,1.00104727,0.2944,0.455773
