loan_id,snapshot_month,actual_synthetic_target,predicted_probability,risk_tier,data_split
L000001,2024-01-01,0,0.0274472,Low,train
L000002,2024-01-01,0,0.03130213,Low,train
L000003,2024-01-01,0,0.03192227,Low,train
L000004,2024-01-01,0,0.03701185,Monitor,train
L000005,2024-01-01,0,0.03048487,Low,train
L000006,2024-01-01,0,0.10908253,Critical,train
L000007,2024-01-01,0,0.05624393,High,train
L000008,2024-01-01,0,0.0341188,Low,train
L000009,2024-01-01,0,0.04719046,High,train
L000010,2024-01-01,0,0.03463948,Monitor,train
L000011,2024-01-01,0,0.02562012,Low,train
L000012,2024-01-01,0,0.02825784,Low,train
L000013,2024-01-01,0,0.03793749,Monitor,train
L000014,2024-01-01,0,0.03629685,Monitor,train
L000015,2024-01-01,0,0.07976061,High,train
L000016,2024-01-01,0,0.02819369,Low,train
L000017,2024-01-01,0,0.02941389,Low,train
L000018,2024-01-01,0,0.02825174,Low,train
L000019,2024-01-01,0,0.02557061,Low,train
L000020,2024-01-01,0,0.0356204,Monitor,train
L000021,2024-01-01,0,0.02996433,Low,train
L000022,2024-01-01,0,0.03029965,Low,train
L000023,2024-01-01,0,0.02331273,Low,train
L000024,2024-01-01,0,0.05167203,High,train
L000025,2024-01-01,0,0.04103182,Monitor,train
L000026,2024-01-01,0,0.0331763,Low,train
L000027,2024-01-01,1,0.49431262,Critical,train
L000028,2024-01-01,0,0.0477473,High,train
L000029,2024-01-01,1,0.03326705,Low,train
L000030,2024-01-01,0,0.21452859,Critical,train
L000031,2024-01-01,0,0.04113241,Monitor,train
L000032,2024-01-01,0,0.03195639,Low,train
L000033,2024-01-01,0,0.03039533,Low,train
L000034,2024-01-01,0,0.03433641,Low,train
L000035,2024-01-01,0,0.02665899,Low,train
L000036,2024-01-01,0,0.0385144,Monitor,train
L000037,2024-01-01,0,0.15281073,Critical,train
L000038,2024-01-01,0,0.0291228,Low,train
L000039,2024-01-01,0,0.03265516,Low,train
L000040,2024-01-01,0,0.03439155,Low,train
L000041,2024-01-01,0,0.03751748,Monitor,train
L000042,2024-01-01,0,0.18290646,Critical,train
L000043,2024-01-01,0,0.04033285,Monitor,train
L000044,2024-01-01,0,0.02543823,Low,train
L000045,2024-01-01,0,0.03315573,Low,train
L000046,2024-01-01,0,0.03050496,Low,train
L000047,2024-01-01,0,0.03044845,Low,train
L000048,2024-01-01,0,0.03155738,Low,train
L000049,2024-01-01,0,0.02855319,Low,train
L000050,2024-01-01,0,0.03302186,Low,train
L000051,2024-01-01,1,0.0364503,Monitor,train
L000052,2024-01-01,0,0.03296727,Low,train
L000053,2024-01-01,0,0.02455844,Low,train
L000054,2024-01-01,0,0.03512341,Monitor,train
L000055,2024-01-01,0,0.03836483,Monitor,train
L000056,2024-01-01,0,0.03367093,Low,train
L000057,2024-01-01,0,0.06972987,High,train
L000058,2024-01-01,0,0.03665785,Monitor,train
L000059,2024-01-01,0,0.02807746,Low,train
L000060,2024-01-01,0,0.03676407,Monitor,train
L000061,2024-01-01,0,0.03105123,Low,train
L000062,2024-01-01,0,0.05807206,High,train
L000063,2024-01-01,0,0.02699577,Low,train
