customer_id,birth_year,region,employment_status,annual_income_eur,months_with_bank,home_ownership
C000001,1981,North,Retired,18594.9,172,Tenant
C000002,1987,West,Self-employed,31326.33,32,Owner
C000003,1987,Central,Self-employed,144464.89,164,Tenant
C000004,1987,North,Self-employed,79533.6,96,Owner
C000005,1974,West,Salaried,57644.28,221,Tenant
C000006,1975,East,Salaried,98633.92,232,Tenant
C000007,1984,Central,Salaried,89250.11,136,Mortgage
C000008,1977,South,Self-employed,56445.83,147,Tenant
C000009,1984,Central,Salaried,52634.25,230,Tenant
C000010,1977,North,Salaried,31774.28,98,Tenant
C000011,1982,South,Self-employed,63453.23,229,Mortgage
C000012,1982,North,Self-employed,18440.83,11,Mortgage
C000013,1976,North,Salaried,29776.8,231,Mortgage
C000014,1984,West,Salaried,42256.9,171,Owner
C000015,1964,Central,Salaried,36789.36,146,Owner
C000016,1970,North,Salaried,41657.16,105,Owner
C000017,1992,Central,Contract,44241.09,154,Tenant
C000018,1980,North,Contract,38838.46,23,Tenant
C000019,1969,West,Salaried,53331.36,67,Owner
C000020,1979,North,Contract,39988.82,95,Tenant
C000021,2001,South,Contract,54083.88,160,Owner
C000022,1996,North,Salaried,86412.34,73,Owner
C000023,1997,East,Contract,45173.6,116,Owner
C000024,1967,West,Retired,24092.48,45,Tenant
C000025,1967,South,Salaried,67827.08,46,Tenant
C000026,2004,Central,Salaried,62796.97,77,Mortgage
C000027,1997,East,Salaried,69470.33,136,Owner
C000028,1973,North,Self-employed,32760.39,236,Mortgage
C000029,1977,East,Salaried,16207.28,6,Mortgage
C000030,1966,South,Salaried,61663.2,175,Tenant
C000031,1986,North,Salaried,31643.32,184,Mortgage
C000032,1973,East,Retired,16000,240,Tenant
C000033,1980,East,Salaried,63741.49,235,Owner
C000034,1975,South,Salaried,32162.28,234,Mortgage
C000035,1983,East,Salaried,39596.49,237,Tenant
C000036,1955,Central,Retired,58003.06,130,Owner
C000037,2003,North,Salaried,28272.05,106,Mortgage
C000038,1983,Central,Salaried,35050.12,77,Tenant
C000039,2004,East,Self-employed,81198.39,61,Mortgage
C000040,1991,Central,Self-employed,64830.0,153,Tenant
C000041,1987,South,Retired,35763.07,135,Tenant
C000042,1990,East,Salaried,82279.6,172,Mortgage
C000043,1970,East,Self-employed,16000,162,Tenant
C000044,1963,East,Salaried,35638.74,138,Other
C000045,1974,South,Self-employed,62536.19,183,Owner
C000046,1982,South,Contract,40234.01,190,Owner
C000047,1959,South,Salaried,44384.29,31,Tenant
C000048,1990,South,Salaried,72115.72,19,Owner
C000049,1979,East,Salaried,30046.4,164,Owner
C000050,1972,Central,Contract,25231.82,59,Mortgage
C000051,1982,South,Salaried,36809.39,78,Tenant
C000052,1947,Central,Self-employed,43811.99,24,Owner
C000053,1984,East,Salaried,44820.49,118,Owner
C000054,1970,West,Salaried,155086.03,240,Mortgage
C000055,1985,West,Salaried,32019.18,108,Tenant
C000056,1979,North,Contract,32381.26,98,Mortgage
C000057,1967,West,Salaried,45866.63,85,Mortgage
C000058,1981,Central,Retired,32532.5,126,Owner
C000059,1961,Central,Salaried,68671.21,78,Tenant
C000060,1972,Central,Salaried,45588.28,228,Owner
C000061,1970,West,Salaried,89413.19,216,Tenant
C000062,1983,South,Salaried,28387.93,178,Tenant
C000063,1983,West,Retired,120998.17,229,Owner
C000064,1991,West,Salaried,38167.06,52,Owner
C000065,1988,North,Contract,22437.08,211,Mortgage
C000066,1985,South,Contract,49892.27,185,Mortgage
C000067,1968,Central,Salaried,54872.31,161,Tenant
C000068,2004,North,Self-employed,58847.83,207,Mortgage
C000069,1950,East,Self-employed,37139.23,239,Mortgage
C000070,1974,West,Salaried,45201.72,178,Other
C000071,1970,Central,Salaried,70414.94,33,Tenant
C000072,1977,North,Self-employed,45389.83,15,Mortgage
C000073,1975,East,Self-employed,91422.92,31,Tenant
C000074,2004,West,Salaried,43861.13,21,Mortgage
C000075,1988,East,Self-employed,65838.33,23,Tenant
C000076,1974,Central,Self-employed,87655.05,39,Owner
C000077,1968,North,Salaried,67242.55,134,Owner
C000078,1983,West,Salaried,52191.22,119,Owner
C000079,1984,North,Self-employed,52781.95,185,Owner
C000080,1969,West,Salaried,78305.79,86,Mortgage
C000081,1977,South,Salaried,80862.24,37,Mortgage
C000082,1999,North,Salaried,36394.26,129,Owner
C000083,1971,North,Salaried,59680.28,185,Tenant
C000084,1982,South,Self-employed,51841.04,89,Tenant
C000085,1974,East,Self-employed,60233.38,75,Owner
C000086,1973,North,Salaried,47889.43,133,Tenant
C000087,1975,East,Retired,64092.97,35,Mortgage
C000088,2004,North,Salaried,42644.4,168,Owner
C000089,1991,East,Retired,45253.61,200,Tenant
C000090,1957,Central,Salaried,56533.41,88,Tenant
C000091,1981,East,Salaried,38465.58,20,Mortgage
C000092,1976,Central,Salaried,49790.36,121,Owner
C000093,1993,South,Salaried,42013.64,110,Tenant
C000094,1977,West,Salaried,30046.91,27,Mortgage
C000095,1979,East,Retired,59485.54,98,Owner
C000096,1981,West,Salaried,21706.08,140,Owner
C000097,1983,West,Salaried,62204.12,66,Other
C000098,1972,East,Salaried,68971.57,202,Mortgage
C000099,2001,South,Retired,34285.55,237,Mortgage
C000100,1990,North,Salaried,42112.64,188,Tenant
C000101,1994,Central,Self-employed,47887.06,146,Other
C000102,1978,Central,Salaried,26218.59,133,Mortgage
C000103,1987,North,Salaried,52324.35,98,Owner
C000104,1968,West,Self-employed,31532.57,91,Owner
C000105,1989,West,Self-employed,103259.73,123,Owner
C000106,1976,Central,Retired,31975.63,18,Tenant
C000107,1960,East,Self-employed,82877.26,210,Mortgage
C000108,1992,East,Retired,34454.19,182,Mortgage
C000109,1985,West,Salaried,78726.24,46,Other
C000110,1974,Central,Salaried,37507.56,101,Mortgage
C000111,1960,North,Salaried,27782.95,162,Mortgage
C000112,1985,East,Salaried,69331.34,234,Mortgage
C000113,1981,East,Salaried,62810.96,125,Tenant
C000114,1947,North,Contract,54462.91,87,Tenant
C000115,1963,Central,Self-employed,57081.29,20,Tenant
C000116,1986,North,Salaried,96752.79,147,Mortgage
C000117,1953,South,Salaried,50146.51,150,Owner
C000118,1976,South,Salaried,91257.65,212,Tenant
C000119,1996,West,Salaried,25645.13,226,Mortgage
C000120,1989,Central,Salaried,27030.1,125,Mortgage
C000121,1967,Central,Self-employed,47442.64,192,Mortgage
C000122,1983,Central,Salaried,35385.68,165,Tenant
C000123,1981,North,Salaried,28627.32,91,Tenant
C000124,1981,East,Retired,37973.32,127,Tenant
C000125,1966,West,Self-employed,24499.79,155,Mortgage
C000126,1975,East,Retired,20303.5,113,Owner
C000127,1991,South,Retired,39854.43,175,Mortgage
C000128,1960,South,Salaried,132531.49,129,Owner
C000129,1974,South,Salaried,37641.91,209,Tenant
C000130,1974,Central,Salaried,27102.74,75,Tenant
C000131,1978,East,Salaried,61802.9,189,Mortgage
C000132,1983,West,Salaried,127621.33,79,Mortgage
C000133,1971,Central,Salaried,68955.52,220,Mortgage
C000134,1982,North,Retired,34962.7,47,Tenant
C000135,1985,South,Salaried,59176.39,108,Tenant
C000136,1966,West,Salaried,19897.2,8,Owner
C000137,1965,South,Salaried,70372.45,40,Mortgage
C000138,1951,West,Contract,105533.58,158,Tenant
C000139,1981,North,Salaried,21620.28,89,Tenant
C000140,1995,East,Retired,31224.62,149,Mortgage
C000141,1985,Central,Self-employed,53215.54,234,Owner
C000142,1966,West,Self-employed,24491.11,175,Tenant
C000143,1961,West,Salaried,137254.28,114,Mortgage
C000144,1984,North,Salaried,60233.63,227,Tenant
C000145,1972,Central,Salaried,60760.98,175,Mortgage
C000146,1980,South,Self-employed,22456.78,170,Tenant
C000147,1970,West,Salaried,67999.85,212,Mortgage
C000148,1998,South,Salaried,34795.07,143,Tenant
C000149,1970,East,Retired,16000,228,Tenant
C000150,1973,South,Self-employed,110238.87,88,Tenant
C000151,1961,Central,Salaried,46329.44,240,Owner
C000152,1974,North,Salaried,51382.61,64,Mortgage
C000153,2004,East,Salaried,57839.2,240,Tenant
C000154,1991,East,Salaried,51874.38,21,Mortgage
C000155,1980,Central,Salaried,48395.37,10,Mortgage
C000156,1982,West,Salaried,26522.93,82,Tenant
C000157,1996,East,Salaried,37530.49,206,Mortgage
C000158,1992,West,Self-employed,53620.07,51,Tenant
C000159,1991,Central,Self-employed,45726.21,105,Tenant
C000160,1987,East,Self-employed,43589.33,163,Other
C000161,1964,West,Contract,37406.92,175,Mortgage
