loan_id,customer_id,origination_date,product_type,original_principal_eur,term_months,apr_pct,installment_eur,purpose
L000001,C001317,2022-11-01,Credit card,20007.14,60,13.371,600.21,Revolving credit
L000002,C001860,2022-05-01,Auto loan,19523.66,48,10.04,495.55,Vehicle purchase
L000003,C001418,2023-06-01,Credit card,22861.96,60,20.055,685.86,Revolving credit
L000004,C001984,2023-02-01,Mortgage,273119.78,180,4.239,2053.11,Home purchase
L000005,C001831,2023-07-01,Personal loan,3255.83,36,6.925,100.42,Debt consolidation
L000006,C000739,2023-02-01,Personal loan,25348.56,48,9.889,641.55,Debt consolidation
L000007,C001827,2018-12-01,Mortgage,367650.89,240,3.814,2191.98,Home purchase
L000008,C001201,2023-03-01,Personal loan,29661.49,60,12.95,674.13,Education
L000009,C000873,2022-12-01,Credit card,21591.46,60,12.537,647.74,Revolving credit
L000010,C000263,2018-04-01,Mortgage,283963.72,240,5.383,1934.67,Home purchase
L000011,C001961,2022-11-01,Credit card,11282.51,60,21.487,338.48,Revolving credit
L000012,C001647,2021-05-01,Personal loan,9880.27,72,14.24,204.86,Home improvement
L000013,C001295,2019-01-01,Mortgage,128194.88,180,4.626,988.97,Home purchase
L000014,C001803,2018-08-01,Mortgage,152284.79,300,4.402,838.02,Home purchase
L000015,C001871,2022-09-01,Mortgage,209446.77,180,2.051,1352.68,Home purchase
L000016,C002000,2022-09-01,Credit card,19554.82,60,22.83,586.64,Revolving credit
L000017,C001543,2023-10-01,Personal loan,25516.44,60,7.498,511.27,Debt consolidation
L000018,C001562,2021-08-01,Credit card,2913.08,60,23.049,87.39,Revolving credit
L000019,C001271,2023-01-01,Personal loan,29078.08,36,12.174,968.22,Debt consolidation
L000020,C000903,2022-08-01,Auto loan,17880.78,60,7.255,356.22,Vehicle purchase
L000021,C000520,2023-06-01,Auto loan,58261.77,60,7.18,1158.59,Vehicle purchase
L000022,C001931,2023-10-01,Personal loan,27063.96,48,4.343,615.24,Home improvement
L000023,C001101,2022-09-01,Credit card,3759.86,60,20.975,112.8,Revolving credit
L000024,C001422,2021-11-01,Auto loan,48982.79,72,7.847,855.18,Vehicle purchase
L000025,C000529,2023-06-01,Mortgage,371695.08,240,4.377,2326.97,Home purchase
L000026,C001925,2021-08-01,Personal loan,51958.95,60,6.603,1019.15,Debt consolidation
L000027,C000172,2022-09-01,Auto loan,60460.81,48,5.666,1410.67,Vehicle purchase
