loan_id,snapshot_month,account_age_months,outstanding_balance_eur,days_past_due,utilization_pct,payment_ratio,missed_payments_3m,bureau_score,dti_pct,income_drop_flag,hardship_flag,default_next_3m
L000001,2024-01-01,14,10114.98,0,50.56,1.0586,0,751,29.03,0,0,0
L000001,2024-02-01,15,12832.15,0,64.14,1.0128,0,714,29.03,0,0,0
L000001,2024-03-01,16,13671.21,0,68.33,1.0663,0,729,29.03,0,0,0
L000001,2024-04-01,17,12702.48,0,63.49,0.9882,0,739,29.03,0,0,0
L000001,2024-05-01,18,7348.56,0,36.73,0.8829,0,748,29.03,0,0,0
L000001,2024-06-01,19,6997.85,90,34.98,0.3916,1,655,29.03,0,1,1
L000001,2024-07-01,20,11108.82,0,55.52,0.8299,1,702,29.03,0,0,0
L000001,2024-08-01,21,7085.38,0,35.41,0.9778,1,662,29.03,0,0,0
L000001,2024-09-01,22,9191.74,0,45.94,1.0921,0,728,29.03,0,0,0
L000001,2024-10-01,23,7032.24,0,35.15,0.9858,0,717,29.03,0,0,0
L000001,2024-11-01,24,9056.44,0,45.27,0.9391,0,715,29.03,0,0,0
L000001,2024-12-01,25,12892.26,0,64.44,1.0795,0,722,29.03,0,0,0
L000001,2025-01-01,26,10077.05,0,50.37,0.9975,0,737,29.03,0,0,0
L000001,2025-02-01,27,5377.61,0,26.88,1.1821,0,744,29.03,0,0,0
L000001,2025-03-01,28,6553.47,0,32.76,0.9306,0,748,29.03,0,0,0
L000001,2025-04-01,29,15122.1,0,75.58,0.982,0,722,29.03,0,0,0
L000001,2025-05-01,30,9422.5,0,47.1,1.1122,0,700,29.03,0,0,0
L000001,2025-06-01,31,8575.42,30,42.86,0.7302,1,679,29.03,0,0,0
L000001,2025-07-01,32,5206.0,0,26.02,1.0363,1,692,29.03,0,0,0
L000001,2025-08-01,33,6489.95,0,32.44,1.0434,1,669,29.03,0,0,0
L000001,2025-09-01,34,7469.92,0,37.34,1.106,0,719,29.03,0,0,0
L000002,2024-01-01,20,11388.8,0,42.77,0.9939,0,748,38.26,0,0,0
L000002,2024-02-01,21,10982.06,0,35.4,1.1254,0,756,38.26,0,0,0
L000002,2024-03-01,22,10575.32,0,58.25,0.9248,0,735,38.26,0,0,0
L000002,2024-04-01,23,10168.57,0,45.42,1.1557,0,764,38.26,0,0,0
L000002,2024-05-01,24,9761.83,0,16.95,1.1932,0,745,38.26,0,0,0
L000002,2024-06-01,25,9355.09,0,68.41,0.9656,0,711,38.26,0,0,0
L000002,2024-07-01,26,8948.34,0,26.68,1.016,0,759,38.26,0,0,0
L000002,2024-08-01,27,8541.6,0,13.52,1.0077,0,761,38.26,0,0,0
L000002,2024-09-01,28,8134.86,0,23.03,1.031,0,722,38.26,0,0,0
L000002,2024-10-01,29,7728.12,0,33.84,0.9584,0,734,38.26,0,0,0
L000002,2024-11-01,30,7321.37,0,50.95,1.1897,0,738,38.26,0,0,0
L000002,2024-12-01,31,6914.63,0,41.79,0.9736,0,778,38.26,0,0,0
L000002,2025-01-01,32,6507.89,0,57.04,1.1199,0,766,38.26,0,0,0
L000002,2025-02-01,33,6101.14,0,45.42,0.9586,0,739,38.26,0,0,0
L000002,2025-03-01,34,5694.4,22,52.39,0.7278,1,724,38.26,0,0,1
L000002,2025-04-01,35,5287.66,0,42.03,1.0034,1,703,38.26,0,0,0
L000002,2025-05-01,36,4880.91,0,35.62,0.8369,1,709,38.26,0,0,0
L000002,2025-06-01,37,4474.17,0,31.72,1.0184,0,731,38.26,0,0,0
L000002,2025-07-01,38,4067.43,0,30.19,0.9767,0,757,38.26,0,0,0
L000002,2025-08-01,39,3660.69,0,27.11,0.8687,0,713,38.26,0,0,0
L000002,2025-09-01,40,3253.94,0,38.36,1.0084,0,731,38.26,0,0,0
L000003,2024-01-01,7,11128.38,0,48.68,0.8859,0,765,35.65,0,0,0
L000003,2024-02-01,8,4590.77,0,20.08,1.0405,0,778,35.65,0,0,0
L000003,2024-03-01,9,14448.37,13,63.2,0.7465,0,746,35.65,1,0,0
L000003,2024-04-01,10,7405.02,0,32.39,1.0339,0,760,35.65,0,0,0
L000003,2024-05-01,11,5933.45,0,25.95,1.0052,0,734,35.65,0,0,0
L000003,2024-06-01,12,6017.33,0,26.32,0.9972,0,737,35.65,0,0,0
L000003,2024-07-01,13,8892.05,0,38.89,1.115,0,731,35.65,0,0,0
L000003,2024-08-01,14,4948.58,0,21.65,0.9357,0,755,35.65,0,0,0
L000003,2024-09-01,15,3645.76,0,15.95,1.0233,0,756,35.65,0,0,0
L000003,2024-10-01,16,7650.03,0,33.46,0.9639,0,766,35.65,0,0,0
L000003,2024-11-01,17,4480.85,0,19.6,1.0513,0,796,35.65,0,0,0
L000003,2024-12-01,18,9440.98,0,41.3,0.9699,0,778,35.65,0,0,0
L000003,2025-01-01,19,3620.17,0,15.83,1.0302,0,759,35.65,0,0,0
L000003,2025-02-01,20,8261.5,0,36.14,1.0174,0,758,35.65,0,0,0
L000003,2025-03-01,21,7520.22,0,32.89,1.1787,0,779,35.65,0,0,0
L000003,2025-04-01,22,9737.53,0,42.59,0.9485,0,784,35.65,0,0,0
L000003,2025-05-01,23,7425.17,10,32.48,0.8477,0,736,35.65,0,0,0
L000003,2025-06-01,24,6872.39,0,30.06,1.0307,0,752,35.65,0,0,1
L000003,2025-07-01,25,5777.29,0,25.27,0.9361,0,767,35.65,0,0,0
L000003,2025-08-01,26,7779.79,0,34.03,1.1294,0,731,35.65,0,0,0
L000003,2025-09-01,27,4542.53,0,19.87,0.991,0,736,35.65,0,0,0
L000004,2024-01-01,11,256429.13,0,22.98,0.9555,0,742,61.95,0,0,0
L000004,2024-02-01,12,254911.79,28,15.8,0.7235,1,728,61.95,0,0,0
L000004,2024-03-01,13,253394.46,0,26.44,0.892,1,718,61.95,0,0,0
L000004,2024-04-01,14,251877.13,0,48.55,1.0074,1,696,61.95,0,0,0
L000004,2024-05-01,15,250359.8,0,32.07,1.0687,0,753,61.95,0,0,0
L000004,2024-06-01,16,248842.47,0,34.9,1.1262,0,711,61.95,0,0,0
L000004,2024-07-01,17,247325.13,0,50.82,0.9706,0,722,61.95,0,0,0
L000004,2024-08-01,18,245807.8,0,33.84,1.0886,0,740,61.95,0,0,0
L000004,2024-09-01,19,244290.47,30,29.72,0.865,1,735,61.95,0,0,1
L000004,2024-10-01,20,242773.14,24,38.37,0.752,2,693,61.95,0,0,0
L000004,2024-11-01,21,241255.81,0,25.27,0.9064,2,704,61.95,0,0,0
L000004,2024-12-01,22,239738.47,0,39.34,0.9402,1,772,61.95,0,0,0
L000004,2025-01-01,23,238221.14,0,41.14,1.2469,0,735,61.95,0,0,0
L000004,2025-02-01,24,236703.81,0,36.49,0.9955,0,730,61.95,0,0,0
L000004,2025-03-01,25,235186.48,0,1,1.0363,0,753,61.95,0,0,0
L000004,2025-04-01,26,233669.15,0,30.42,0.9947,0,770,61.95,0,0,0
L000004,2025-05-01,27,232151.81,0,29.49,1.0662,0,740,61.95,0,0,0
L000004,2025-06-01,28,230634.48,0,58.69,0.9218,0,745,61.95,0,0,0
L000004,2025-07-01,29,229117.15,0,30.65,1.0249,0,769,61.95,0,0,0
L000004,2025-08-01,30,227599.82,0,48.05,0.9821,0,773,61.95,0,0,1
L000004,2025-09-01,31,226082.48,0,56.52,1.0231,0,775,61.95,0,0,0
L000005,2024-01-01,6,2713.19,0,57.83,0.9685,0,717,19.79,0,0,0
L000005,2024-02-01,7,2622.75,0,52.53,1.0139,0,738,19.79,0,0,0
L000005,2024-03-01,8,2532.31,0,36.83,1.0266,0,723,19.79,0,0,0
L000005,2024-04-01,9,2441.87,0,57.54,0.9877,0,711,19.79,0,0,0
L000005,2024-05-01,10,2351.43,0,53.39,0.8595,0,722,19.79,0,0,0
L000005,2024-06-01,11,2260.99,60,64.23,0.3925,1,615,19.79,1,1,1
